district_combo,name,proposal_number,YES,NO,yes_pct,no_pct,dw_category
52075,Prospect Heights,Proposal Number 5,539,76,87.6,12.4,>80%
44008,Prospect Heights,Proposal Number 5,636,60,91.4,8.6,>80%
44009,Prospect Heights,Proposal Number 5,569,70,89.0,11.0,>80%
44060,Prospect Heights,Proposal Number 5,214,17,92.6,7.4,>80%
44005,Prospect Heights,Proposal Number 5,223,21,91.4,8.6,>80%
44011,Prospect Heights,Proposal Number 5,1045,99,91.3,8.7,>80%
44010,Prospect Heights,Proposal Number 5,416,39,91.4,8.6,>80%
24019,Richmond Hill,Proposal Number 5,222,74,75.0,25.0,61-80%
24032,Richmond Hill,Proposal Number 5,231,66,77.8,22.2,61-80%
24018,Richmond Hill,Proposal Number 5,189,47,80.1,19.9,>80%
24026,Richmond Hill,Proposal Number 5,189,55,77.5,22.5,61-80%
24021,Richmond Hill,Proposal Number 5,223,118,65.4,34.6,61-80%
24025,Richmond Hill,Proposal Number 5,88,61,59.1,40.9,41-60%
24024,Richmond Hill,Proposal Number 5,185,128,59.1,40.9,41-60%
43020,Crown Heights,Proposal Number 5,265,409,39.3,60.7,21-40%
43013,Crown Heights,Proposal Number 5,403,189,68.1,31.9,61-80%
43012,Crown Heights,Proposal Number 5,337,133,71.7,28.3,61-80%
43005,Crown Heights,Proposal Number 5,376,86,81.4,18.6,>80%
43021,Crown Heights,Proposal Number 5,159,357,30.8,69.2,21-40%
43022,Crown Heights,Proposal Number 5,285,377,43.1,56.9,41-60%
43014,Crown Heights,Proposal Number 5,303,126,70.6,29.4,61-80%
43008,Crown Heights,Proposal Number 5,356,103,77.6,22.4,61-80%
74006,Kips Bay,Proposal Number 5,620,74,89.3,10.7,>80%
74005,Kips Bay,Proposal Number 5,493,82,85.7,14.3,>80%
74004,Kips Bay,Proposal Number 5,606,104,85.4,14.6,>80%
74003,Kips Bay,Proposal Number 5,602,105,85.1,14.9,>80%
73015,Kips Bay,Proposal Number 5,694,107,86.6,13.4,>80%
74002,Kips Bay,Proposal Number 5,713,131,84.5,15.5,>80%
73012,Kips Bay,Proposal Number 5,694,112,86.1,13.9,>80%
61063,Battery Park City,Proposal Number 5,752,119,86.3,13.7,>80%
61064,Battery Park City,Proposal Number 5,372,83,81.8,18.2,>80%
61066,Battery Park City,Proposal Number 5,678,67,91.0,9.0,>80%
59027,Flatlands,Proposal Number 5,301,93,76.4,23.6,61-80%
59026,Flatlands,Proposal Number 5,193,53,78.5,21.5,61-80%
41018,Flatlands,Proposal Number 5,228,64,78.1,21.9,61-80%
41008,Flatlands,Proposal Number 5,274,74,78.7,21.3,61-80%
41010,Flatlands,Proposal Number 5,209,54,79.5,20.5,61-80%
41011,Flatlands,Proposal Number 5,288,103,73.7,26.3,61-80%
41007,Flatlands,Proposal Number 5,300,111,73.0,27.0,61-80%
41009,Flatlands,Proposal Number 5,291,121,70.6,29.4,61-80%
41003,Flatlands,Proposal Number 5,201,61,76.7,23.3,61-80%
41002,Flatlands,Proposal Number 5,262,123,68.1,31.9,61-80%
76060,Roosevelt Island,Proposal Number 5,458,46,90.9,9.1,>80%
76059,Roosevelt Island,Proposal Number 5,441,73,85.8,14.2,>80%
76062,Roosevelt Island,Proposal Number 5,521,108,82.8,17.2,>80%
76061,Roosevelt Island,Proposal Number 5,352,44,88.9,11.1,>80%
52027,Downtown Brooklyn,Proposal Number 5,245,10,96.1,3.9,>80%
57017,Downtown Brooklyn,Proposal Number 5,775,66,92.2,7.8,>80%
